T1: 1 56, 3 8, 5 18, 7 12, 9 12, 11 45, 13 8, 15 3, 17 6, 19 21, 21 3, 23 5, 25 3, 27 18, 29 40, 31 30, 34 30, 36 1, 38 6, 40 77, 42 5, 44 7, 46 7, 48 21, 50 45, 52 30, 54 8, 56 20, 58 6, 60 40, 62 3, 64 4, 66 4, 68 56, 70 10, 72 48, 74 7
T1523: 2 12, 3 12, 5 12, 7 9, 9 20, 11 20, 13 9, 15 30, 17 3, 19 15, 22 2, 23 20, 26 3, 28 8, 29 8, 31 12, 34 36, 36 4, 38 3, 40 11, 42 5, 44 4, 46 9, 48 49, 50 25, 52 60, 54 5, 56 32, 58 1, 60 8, 62 4, 64 32, 66 28, 69 72, 70 14, 72 30, 74 3
T1524: 2 15, 3 32, 5 6, 7 15, 9 10, 11 5, 13 10, 15 15, 17 12, 19 15, 22 9, 23 5, 26 7, 28 14, 29 32, 31 12, 34 42, 36 6, 38 2, 40 88, 42 1, 44 7, 46 8, 48 7, 51 10, 52 60, 54 7, 56 16, 58 9, 60 24, 62 10, 64 8, 66 16, 69 72, 70 20, 72 6, 74 5
T1525: 2 18, 3 16, 5 30, 7 9, 9 18, 11 15, 14 9, 15 9, 17 21, 19 9, 22 10, 23 10, 26 7, 28 16, 29 24, 31 27, 34 36, 36 3, 38 3, 40 110, 42 2, 44 2, 46 9, 48 56, 50 10, 52 48, 54 2, 56 20, 58 7, 60 16, 62 5, 64 40, 66 20, 68 28, 70 4, 72 6, 74 9
T1526: 2 27, 3 36, 5 18, 7 24, 9 8, 11 20, 14 1, 15 6, 17 9, 19 30, 22 4, 23 15, 26 1, 28 4, 29 20, 31 3, 34 12, 36 4, 38 1, 40 55, 42 8, 44 8, 46 8, 48 56, 50 40, 52 6, 54 3, 56 4, 58 8, 60 40, 62 4, 64 36, 66 40, 69 8, 70 2, 72 54, 74 1
T1527: 2 12, 3 8, 5 21, 7 30, 9 18, 11 45, 14 3, 15 12, 17 12, 19 24, 22 1, 23 30, 26 6, 28 4, 29 36, 31 30, 34 12, 36 5, 38 6, 40 55, 42 4, 44 1, 46 4, 48 70, 51 12, 52 60, 54 2, 56 20, 58 3, 60 4, 62 3, 64 24, 66 40, 69 48, 70 4, 72 48, 74 5
T1528: 2 30, 3 12, 5 18, 7 9, 9 12, 11 50, 13 1, 15 18, 17 27, 19 15, 22 2, 23 40, 26 4, 28 12, 29 28, 31 6, 34 48, 36 5, 38 10, 40 99, 42 4, 44 4, 46 6, 48 28, 50 30, 52 6, 55 10, 56 28, 58 6, 60 36, 62 9, 64 32, 66 4, 68 70, 70 16, 72 24, 74 1
T1529: 2 6, 3 32, 5 27, 7 12, 9 10, 11 45, 13 7, 15 3, 17 15, 19 27, 22 10, 23 15, 26 4, 28 14, 29 8, 31 12, 34 6, 36 6, 38 3, 40 33, 42 8, 44 8, 46 9, 48 28, 50 50, 52 48, 55 2, 56 28, 58 10, 60 40, 62 2, 64 4, 66 40, 69 40, 70 12, 72 60, 74 1
T1530: 2 21, 3 28, 5 15, 7 21, 9 20, 11 25, 13 5, 15 27, 17 3, 19 18, 22 1, 23 30, 26 4, 28 4, 29 36, 31 15, 34 24, 36 10, 38 3, 40 77, 42 3, 44 1, 46 1, 48 56, 51 16, 52 6, 55 18, 56 32, 58 9, 60 20, 62 5, 64 32, 66 24, 68 35, 70 10, 72 48, 74 1
T1531: 2 15, 3 8, 5 27, 7 18, 9 12, 11 15, 14 1, 15 6, 17 6, 19 6, 22 4, 23 25, 26 7, 28 16, 29 12, 31 27, 34 36, 36 2, 38 8, 40 44, 42 1, 44 1, 46 3, 48 49, 50 20, 52 6, 55 2, 56 32, 58 9, 60 40, 62 4, 64 4, 66 8, 68 63, 70 16, 72 30, 74 9
T1532: 2 18, 3 20, 5 3, 7 18, 9 10, 11 40, 14 3, 15 12, 17 30, 19 12, 22 8, 23 5, 26 3, 28 18, 29 40, 31 9, 34 30, 36 7, 38 6, 40 55, 42 5, 44 5, 46 3, 48 35, 50 45, 52 12, 55 12, 56 12, 58 7, 60 8, 62 1, 64 20, 66 12, 69 40, 70 2, 72 60, 74 3
T1533: 2 9, 3 8, 5 27, 7 3, 9 14, 11 30, 14 7, 15 12, 17 27, 19 15, 22 1, 23 20, 26 9, 28 6, 29 20, 31 6, 34 6, 36 3, 38 4, 40 33, 42 2, 44 9, 46 3, 48 7, 51 6, 52 48, 55 4, 56 40, 58 1, 60 36, 62 1, 64 8, 66 24, 68 7, 70 4, 72 54, 74 4
T1534: 2 30, 3 24, 5 6, 7 3, 9 10, 11 10, 13 4, 15 9, 17 24, 19 21, 22 3, 23 40, 25 10, 27 18, 29 28, 31 21, 34 6, 36 6, 38 7, 40 77, 42 5, 44 6, 46 5, 48 14, 50 15, 52 6, 54 5, 56 28, 58 2, 60 4, 62 2, 64 8, 66 32, 68 70, 70 8, 72 6, 75 30
T1535: 2 12, 3 20, 5 15, 7 18, 9 16, 11 35, 13 5, 15 3, 17 6, 19 12, 22 5, 23 45, 25 9, 27 6, 29 20, 31 12, 34 30, 36 8, 38 3, 40 55, 42 10, 44 3, 46 7, 48 42, 50 10, 52 54, 54 5, 56 32, 58 6, 60 8, 62 8, 64 32, 66 28, 68 28, 71 20, 72 30, 75 18
T1536: 2 18, 3 20, 5 24, 7 3, 9 18, 12 14, 13 2, 16 3, 17 6, 19 3, 22 3, 23 5, 25 8, 27 20, 29 40, 31 6, 34 60, 36 1, 38 4, 40 88, 42 2, 44 4, 46 5, 48 63, 50 40, 52 24, 54 1, 56 32, 58 5, 60 4, 62 1, 64 20, 66 12, 68 7, 70 2, 72 30, 75 6
T1537: 2 9, 3 40, 5 30, 7 6, 9 10, 11 15, 13 4, 15 21, 17 9, 19 18, 22 1, 23 35, 25 8, 27 10, 29 36, 31 9, 34 12, 36 8, 38 7, 40 33, 42 2, 44 4, 46 1, 48 14, 51 2, 52 48, 54 6, 56 24, 58 5, 60 36, 62 2, 64 12, 66 4, 68 14, 70 16, 72 54, 75 12
T1538: 2 24, 3 12, 5 27, 7 18, 9 14, 11 35, 13 3, 15 21, 17 18, 19 21, 22 5, 23 25, 25 3, 27 2, 29 20, 31 27, 34 30, 36 3, 38 1, 40 11, 42 2, 44 6, 46 6, 48 70, 51 2, 52 6, 54 3, 56 28, 58 1, 60 40, 62 7, 64 20, 66 28, 68 42, 71 4, 72 6, 75 18
T1539: 2 3, 3 32, 5 21, 7 21, 9 6, 11 10, 13 1, 16 12, 18 8, 20 4, 22 10, 23 40, 25 9, 27 6, 29 4, 31 12, 34 36, 36 10, 38 4, 40 33, 42 10, 44 8, 46 1, 48 42, 50 25, 52 48, 54 3, 56 12, 58 5, 60 12, 62 9, 64 16, 66 40, 68 63, 71 4, 72 6, 75 21
T1540: 2 12, 3 16, 5 30, 7 6, 9 20, 12 16, 13 1, 16 12, 18 16, 20 9, 22 8, 23 20, 25 2, 27 8, 29 40, 31 27, 34 54, 36 3, 38 8, 40 11, 42 4, 44 4, 46 5, 48 7, 50 45, 52 42, 54 7, 56 16, 58 3, 60 24, 62 2, 64 28, 66 16, 68 28, 70 18, 72 42, 75 15
T1541: 2 12, 3 8, 5 21, 7 24, 9 16, 12 6, 13 4, 16 6, 18 12, 20 8, 22 3, 23 40, 25 7, 27 10, 29 20, 31 9, 34 6, 36 10, 38 8, 40 44, 42 1, 44 5, 46 9, 48 35, 50 25, 52 36, 54 5, 56 8, 58 1, 60 8, 62 2, 64 4, 66 36, 68 35, 71 36, 72 36, 75 9
T1542: 2 24, 3 28, 5 6, 7 3, 9 16, 11 25, 14 1, 15 21, 17 12, 19 30, 22 2, 23 5, 25 10, 27 4, 29 16, 31 24, 34 6, 36 1, 38 3, 40 11, 42 2, 44 1, 46 8, 48 49, 50 10, 52 12, 54 10, 56 24, 58 9, 60 16, 62 2, 64 16, 66 36, 68 14, 70 4, 72 36, 75 30
T1543: 2 3, 3 24, 5 27, 7 24, 9 8, 11 10, 14 3, 15 6, 17 30, 19 27, 22 1, 23 5, 25 2, 27 12, 29 20, 31 18, 34 42, 36 3, 38 8, 40 99, 42 1, 44 2, 46 10, 48 70, 50 30, 52 36, 54 6, 56 28, 58 3, 60 4, 62 4, 64 36, 66 4, 68 35, 71 20, 72 12, 75 3
T1544: 2 24, 3 36, 5 18, 7 21, 9 12, 11 40, 14 5, 16 12, 17 21, 19 24, 22 5, 23 25, 25 1, 27 20, 29 16, 31 24, 34 54, 36 3, 38 6, 40 11, 42 9, 44 9, 46 6, 48 42, 50 20, 52 54, 54 2, 56 24, 58 1, 60 12, 62 5, 64 8, 66 36, 68 49, 70 4, 72 24, 75 3
T1545: 2 12, 3 8, 5 18, 7 30, 9 14, 12 16, 14 6, 16 6, 17 24, 19 12, 22 4, 23 35, 25 6, 27 6, 29 12, 31 15, 34 48, 36 6, 38 4, 40 88, 42 1, 44 7, 46 4, 48 35, 50 20, 52 60, 54 2, 56 28, 58 4, 60 40, 62 6, 64 8, 66 28, 68 56, 70 14, 72 24, 75 6
T1546: 2 27, 3 20, 5 18, 7 15, 9 20, 11 15, 14 8, 15 3, 17 3, 19 6, 22 10, 23 25, 25 8, 27 20, 29 4, 31 3, 34 60, 36 9, 38 7, 40 44, 42 9, 44 7, 46 2, 48 21, 51 6, 52 6, 54 7, 56 36, 58 6, 60 28, 62 6, 64 32, 66 32, 68 35, 70 20, 72 54, 75 15
T1547: 2 27, 3 24, 5 15, 7 21, 9 16, 11 5, 14 9, 15 27, 17 9, 19 6, 22 6, 23 30, 25 2, 27 6, 29 32, 31 3, 34 60, 36 6, 38 9, 40 11, 42 9, 44 5, 46 5, 48 28, 51 8, 52 36, 54 3, 56 24, 58 9, 60 8, 62 5, 64 20, 66 4, 68 56, 71 8, 72 18, 75 18
T1548: 2 12, 3 24, 5 9, 7 15, 9 8, 11 15, 14 10, 15 18, 18 6, 20 8, 22 3, 23 25, 25 1, 27 2, 29 28, 31 30, 34 12, 36 7, 38 1, 40 110, 42 1, 44 8, 46 7, 48 14, 50 20, 52 18, 54 1, 56 16, 58 5, 60 28, 62 7, 64 8, 66 20, 68 70, 70 2, 72 36, 75 15
T1549: 2 21, 3 40, 5 27, 7 9, 9 18, 11 20, 14 2, 16 6, 18 2, 20 6, 22 10, 23 50, 25 10, 27 16, 29 4, 31 18, 34 30, 36 5, 38 10, 40 77, 42 7, 44 5, 46 2, 48 21, 50 35, 52 54, 54 8, 56 36, 58 1, 60 32, 62 9, 64 16, 66 40, 68 7, 70 18, 72 12, 75 9
T1550: 2 9, 3 28, 5 18, 7 3, 9 6, 12 12, 14 8, 16 24, 18 14, 20 9, 22 9, 23 45, 25 4, 27 10, 29 20, 31 24, 34 42, 36 7, 38 5, 40 11, 42 9, 44 9, 46 6, 48 21, 50 5, 52 30, 54 10, 56 32, 58 5, 60 28, 62 8, 64 12, 66 24, 68 28, 70 18, 72 12, 75 27
T1551: 2 30, 3 32, 5 27, 7 9, 9 2, 11 45, 13 5, 15 30, 17 24, 19 18, 22 6, 23 45, 25 10, 27 2, 29 20, 31 15, 34 36, 36 10, 38 10, 40 77, 42 8, 44 4, 46 8, 48 35, 50 5, 52 12, 55 4, 56 32, 58 3, 60 32, 62 5, 64 40, 66 36, 68 56, 70 6, 72 36, 75 9
T1552: 2 21, 3 32, 5 15, 7 24, 9 18, 11 50, 13 3, 15 12, 17 24, 19 3, 22 6, 23 5, 25 8, 27 4, 29 28, 31 30, 34 24, 36 9, 38 1, 40 77, 42 10, 44 6, 46 8, 48 42, 50 25, 52 6, 55 6, 56 12, 58 5, 60 40, 62 2, 64 24, 66 16, 68 49, 71 20, 72 30, 75 18
T1553: 2 18, 3 8, 5 18, 7 27, 9 20, 12 16, 13 10, 16 6, 17 27, 19 21, 22 9, 23 35, 25 2, 27 8, 29 32, 31 30, 34 30, 36 9, 38 9, 40 11, 42 6, 44 10, 46 2, 48 63, 50 45, 52 18, 55 14, 56 8, 58 9, 60 36, 62 7, 64 20, 66 8, 68 70, 70 16, 72 30, 75 3
T1554: 2 27, 3 20, 5 30, 7 9, 9 4, 12 6, 13 8, 16 15, 17 9, 19 15, 22 9, 23 5, 25 2, 27 4, 29 28, 31 15, 34 18, 36 1, 38 2, 40 88, 42 1, 44 4, 46 4, 48 63, 50 25, 52 18, 55 18, 56 40, 58 4, 60 8, 62 10, 64 12, 66 20, 69 24, 70 12, 72 60, 75 6
T1555: 2 12, 3 12, 5 9, 7 30, 9 4, 11 45, 13 10, 15 6, 17 24, 19 6, 22 2, 23 45, 25 4, 27 14, 29 24, 31 27, 34 36, 36 5, 38 2, 40 55, 42 7, 44 6, 46 10, 48 49, 51 6, 52 18, 55 10, 56 16, 58 9, 60 16, 62 1, 64 12, 66 36, 68 49, 70 18, 72 54, 75 21
T1556: 2 18, 3 24, 5 3, 7 15, 9 2, 11 25, 13 8, 15 30, 17 18, 19 21, 22 1, 23 5, 25 5, 27 10, 29 32, 31 21, 34 24, 36 8, 38 4, 40 88, 42 5, 44 7, 46 9, 48 49, 51 6, 52 60, 55 14, 56 28, 58 2, 60 16, 62 7, 64 28, 66 24, 68 7, 71 24, 72 12, 75 12
T1557: 2 15, 3 12, 5 3, 7 15, 9 14, 11 10, 13 3, 15 15, 17 9, 19 12, 22 4, 23 50, 25 6, 27 16, 29 16, 31 24, 34 42, 36 8, 39 18, 40 44, 42 6, 44 4, 46 2, 48 35, 50 30, 52 12, 55 20, 56 4, 58 8, 60 32, 62 6, 64 20, 66 16, 68 63, 70 6, 72 12, 75 3
T1558: 2 3, 3 8, 6 24, 7 3, 9 16, 11 35, 13 4, 15 3, 17 21, 19 15, 22 3, 23 20, 25 9, 27 12, 29 36, 31 27, 34 24, 36 8, 39 18, 40 11, 42 6, 44 5, 46 10, 48 14, 50 15, 52 42, 55 10, 56 32, 58 6, 60 12, 62 6, 64 4, 66 4, 68 42, 70 12, 72 18, 75 12
T1559: 2 24, 3 8, 5 9, 7 24, 9 6, 11 15, 13 1, 15 12, 17 6, 19 6, 22 8, 23 20, 25 3, 27 10, 29 32, 31 27, 34 42, 37 8, 38 1, 40 88, 42 9, 44 3, 46 8, 48 56, 50 50, 52 30, 55 12, 56 24, 58 3, 60 32, 62 4, 64 28, 66 36, 68 49, 70 6, 72 36, 75 15
T1560: 2 9, 3 12, 5 21, 7 9, 9 14, 11 45, 14 5, 15 15, 17 6, 19 12, 22 7, 23 45, 25 1, 27 16, 29 20, 31 3, 34 60, 36 5, 38 10, 40 66, 42 7, 44 4, 46 9, 48 14, 50 45, 52 48, 55 4, 56 12, 58 1, 60 4, 62 2, 64 28, 66 36, 68 70, 70 14, 72 30, 75 18
T1561: 2 21, 3 28, 5 30, 7 18, 9 16, 11 50, 14 10, 15 21, 17 24, 19 3, 22 10, 23 45, 25 6, 27 20, 29 20, 31 21, 34 12, 36 4, 38 4, 40 55, 42 6, 44 5, 46 8, 48 28, 50 35, 52 30, 55 12, 56 12, 58 5, 60 24, 62 8, 64 32, 66 4, 68 70, 71 12, 72 42, 75 3
T1562: 2 6, 3 36, 5 24, 7 3, 9 20, 12 16, 14 8, 16 24, 17 18, 19 24, 22 7, 23 20, 25 9, 27 12, 29 12, 31 24, 34 18, 36 9, 38 8, 40 22, 42 1, 44 3, 46 10, 48 35, 50 20, 52 24, 55 20, 56 28, 58 3, 60 40, 62 4, 64 12, 66 24, 68 35, 70 20, 72 60, 75 6
T1563: 2 18, 3 40, 5 21, 7 6, 9 6, 12 20, 14 4, 16 18, 17 24, 19 30, 22 7, 23 25, 25 10, 27 18, 29 8, 31 21, 34 24, 36 10, 38 1, 40 11, 42 9, 44 8, 46 3, 48 42, 50 40, 52 12, 55 16, 56 8, 58 3, 60 8, 62 1, 64 16, 66 12, 69 80, 70 14, 72 48, 75 15
T1564: 2 12, 3 32, 5 30, 7 30, 9 4, 11 50, 14 1, 15 21, 17 18, 19 30, 22 4, 23 40, 25 9, 27 2, 29 28, 31 15, 34 48, 36 9, 38 10, 40 110, 42 2, 44 1, 46 8, 48 42, 51 18, 52 12, 55 4, 56 28, 58 10, 60 28, 62 6, 64 28, 66 20, 68 14, 70 18, 72 54, 75 12
T1565: 2 18, 3 12, 5 9, 7 18, 9 18, 11 5, 14 5, 15 3, 17 9, 19 15, 22 8, 23 20, 25 1, 27 8, 29 24, 31 21, 34 42, 36 6, 38 10, 40 110, 42 3, 44 5, 46 10, 48 28, 51 2, 52 6, 55 16, 56 12, 58 2, 60 32, 62 3, 64 20, 66 40, 68 56, 71 20, 72 54, 75 27
T1566: 2 15, 3 16, 5 21, 7 30, 10 18, 11 30, 14 2, 15 3, 17 30, 19 3, 22 5, 23 15, 25 10, 27 20, 29 12, 31 18, 34 54, 36 1, 38 3, 40 99, 42 5, 44 3, 46 10, 48 56, 51 14, 52 18, 55 2, 56 12, 58 8, 60 36, 62 9, 64 16, 66 40, 68 35, 70 8, 72 24, 75 9
T1567: 2 3, 3 20, 5 9, 7 3, 9 16, 12 10, 14 9, 16 27, 17 30, 19 18, 22 1, 23 5, 25 1, 27 2, 29 16, 31 24, 34 42, 36 1, 38 8, 40 66, 42 2, 44 9, 46 4, 48 49, 51 6, 52 12, 55 12, 56 36, 58 1, 60 36, 62 7, 64 28, 66 32, 68 35, 70 6, 72 42, 75 21
T1568: 2 24, 3 16, 5 3, 7 18, 9 6, 11 50, 14 10, 15 12, 17 12, 19 24, 22 6, 23 15, 25 5, 27 20, 29 32, 31 6, 34 24, 36 6, 39 14, 40 88, 42 2, 44 1, 46 5, 48 63, 51 8, 52 30, 55 14, 56 12, 58 6, 60 28, 62 2, 64 32, 66 24, 68 56, 70 4, 72 6, 75 9
T1569: 2 15, 3 24, 5 15, 7 30, 9 8, 11 45, 14 10, 15 6, 18 6, 20 3, 22 10, 23 45, 25 8, 27 8, 29 32, 31 6, 34 30, 36 1, 38 9, 40 44, 42 8, 44 7, 46 4, 48 7, 50 50, 52 60, 55 4, 56 8, 58 6, 60 8, 62 8, 64 4, 66 24, 68 28, 70 18, 72 6, 75 27
T1570: 2 6, 3 28, 5 12, 7 12, 9 16, 12 12, 14 8, 15 15, 18 8, 20 10, 22 9, 23 20, 25 2, 27 12, 29 40, 31 15, 34 24, 36 6, 38 10, 40 77, 42 7, 44 7, 46 1, 48 70, 50 50, 52 6, 55 20, 56 36, 58 1, 60 32, 62 9, 64 32, 66 4, 68 56, 70 10, 72 30, 75 27
T1571: 2 3, 3 28, 5 30, 7 9, 9 12, 11 50, 14 9, 15 18, 18 8, 20 2, 22 10, 23 10, 25 2, 27 18, 29 8, 31 6, 34 24, 36 5, 38 3, 40 44, 42 8, 44 10, 46 6, 48 14, 50 40, 52 36, 55 10, 56 40, 58 4, 60 28, 62 5, 64 32, 66 28, 69 32, 70 4, 72 60, 75 18
T1572: 2 24, 3 28, 5 30, 7 27, 9 14, 11 15, 13 5, 15 30, 17 21, 19 6, 22 1, 23 20, 25 10, 28 20, 29 36, 31 6, 34 6, 36 9, 38 4, 40 88, 42 4, 44 2, 46 9, 48 35, 50 15, 52 24, 54 1, 56 8, 58 6, 60 32, 62 3, 64 36, 66 24, 68 14, 70 14, 72 24, 75 18
T1573: 2 9, 3 12, 5 12, 7 18, 9 18, 12 10, 13 3, 16 9, 17 18, 19 18, 22 7, 23 5, 25 8, 28 10, 29 20, 31 15, 34 36, 36 4, 38 1, 40 11, 42 6, 44 7, 46 8, 48 21, 50 20, 52 12, 54 7, 56 4, 58 5, 60 16, 62 4, 64 20, 66 8, 68 56, 70 14, 72 24, 75 3
T1574: 2 21, 3 16, 5 24, 7 12, 9 16, 11 50, 13 10, 15 21, 17 6, 19 27, 22 1, 23 5, 25 7, 28 14, 29 40, 31 18, 34 48, 36 2, 38 9, 40 55, 42 9, 44 7, 46 5, 48 49, 51 16, 52 60, 54 7, 56 36, 58 7, 60 28, 62 10, 64 40, 66 16, 68 7, 70 6, 72 54, 75 18
T1575: 2 27, 3 36, 5 3, 7 21, 9 14, 11 20, 14 3, 15 9, 17 18, 19 12, 22 4, 23 35, 25 4, 28 14, 29 28, 31 30, 34 60, 36 3, 38 4, 40 66, 42 10, 44 9, 46 4, 48 70, 50 30, 52 12, 54 5, 56 20, 58 7, 60 4, 62 2, 64 16, 66 16, 68 63, 70 4, 72 60, 75 3
T1576: 2 3, 3 16, 5 6, 7 30, 9 18, 11 25, 14 5, 16 18, 17 9, 19 3, 22 10, 23 50, 25 8, 28 10, 29 4, 31 12, 34 48, 36 8, 38 5, 40 55, 42 4, 44 4, 46 10, 48 7, 50 35, 52 24, 54 1, 56 24, 58 7, 60 20, 62 7, 64 4, 66 16, 68 42, 70 8, 72 54, 75 9
T1577: 2 3, 3 20, 5 24, 7 15, 9 14, 12 14, 14 9, 16 18, 17 6, 19 27, 22 1, 23 20, 25 1, 28 8, 29 36, 31 3, 34 60, 36 8, 38 3, 40 11, 42 10, 44 1, 46 1, 48 63, 50 35, 52 48, 54 9, 56 4, 58 2, 60 12, 62 2, 64 24, 66 40, 68 49, 70 14, 72 30, 75 24
T1578: 2 9, 3 28, 5 9, 7 15, 9 6, 11 30, 14 3, 15 30, 17 9, 19 6, 22 1, 23 5, 25 2, 28 2, 29 24, 31 6, 34 60, 36 10, 38 9, 40 22, 42 10, 44 1, 46 9, 48 70, 51 10, 52 54, 54 1, 56 8, 58 6, 60 32, 62 6, 64 12, 66 32, 68 49, 70 2, 72 42, 75 30
T1579: 2 12, 3 4, 5 30, 7 30, 9 12, 11 50, 14 3, 15 9, 18 12, 20 4, 22 7, 23 10, 25 3, 28 18, 29 36, 31 9, 34 30, 36 7, 38 4, 40 77, 42 6, 44 1, 46 7, 48 42, 50 10, 52 42, 54 9, 56 40, 58 10, 60 28, 62 10, 64 32, 66 12, 68 35, 70 8, 72 60, 75 24
T1580: 2 21, 3 24, 5 18, 7 9, 9 12, 11 25, 14 2, 16 30, 18 20, 20 1, 22 8, 23 5, 25 1, 28 18, 29 28, 31 24, 34 48, 36 3, 38 7, 40 55, 42 3, 44 1, 46 8, 48 14, 50 5, 52 54, 54 6, 56 4, 58 1, 60 36, 62 5, 64 8, 66 16, 68 35, 70 6, 72 60, 75 21
T1581: 2 15, 3 24, 5 15, 7 27, 9 20, 11 20, 14 7, 15 12, 18 10, 20 9, 22 8, 23 20, 25 10, 28 2, 29 4, 31 30, 34 60, 36 4, 38 3, 40 99, 42 10, 44 2, 46 5, 48 35, 50 20, 52 42, 54 3, 56 36, 58 2, 60 28, 62 6, 64 28, 66 36, 69 80, 70 8, 72 54, 75 30
T1582: 2 27, 3 36, 5 3, 7 27, 9 6, 11 50, 13 7, 15 15, 17 18, 19 9, 22 3, 23 15, 25 2, 28 14, 29 16, 31 9, 34 12, 36 10, 38 6, 40 66, 42 7, 44 9, 46 2, 48 56, 50 5, 52 12, 55 14, 56 24, 58 10, 60 8, 62 6, 64 4, 66 8, 68 56, 70 14, 72 18, 75 21
T1583: 2 24, 3 28, 5 30, 7 27, 9 8, 12 2, 13 7, 16 24, 17 3, 19 6, 22 10, 23 40, 25 2, 28 2, 29 8, 31 30, 34 36, 36 9, 38 5, 40 66, 42 10, 44 8, 46 6, 48 28, 50 50, 52 12, 55 2, 56 28, 58 8, 60 4, 62 10, 64 28, 66 36, 68 21, 70 8, 72 24, 75 3
T1584: 2 24, 3 12, 5 30, 7 12, 9 14, 12 16, 13 10, 16 9, 17 21, 19 3, 22 6, 23 45, 25 3, 28 2, 29 20, 31 18, 34 6, 36 4, 38 3, 40 33, 42 7, 44 9, 46 9, 48 28, 50 45, 52 48, 55 12, 56 4, 58 9, 60 28, 62 6, 64 40, 66 8, 69 72, 70 18, 72 36, 75 21
T1585: 2 27, 3 12, 5 18, 7 27, 9 12, 11 20, 13 8, 15 21, 17 30, 19 6, 22 9, 23 15, 25 10, 28 8, 29 8, 31 12, 34 36, 36 4, 38 1, 40 99, 42 10, 44 10, 46 10, 48 42, 51 18, 52 60, 55 14, 56 24, 58 3, 60 28, 62 9, 64 4, 66 32, 68 7, 70 16, 72 18, 75 24
T1586: 2 12, 3 24, 5 3, 7 21, 9 4, 11 30, 13 4, 15 15, 17 21, 19 3, 22 3, 23 10, 25 10, 28 18, 29 16, 31 3, 34 42, 36 7, 38 8, 40 33, 42 7, 44 5, 46 2, 49 16, 50 10, 52 36, 55 16, 56 36, 58 7, 60 12, 62 9, 64 20, 66 40, 68 14, 70 10, 72 60, 75 18
T1587: 2 9, 3 24, 5 18, 7 27, 9 4, 11 20, 14 4, 15 18, 17 30, 19 21, 22 2, 23 30, 25 1, 28 10, 29 20, 31 24, 34 18, 36 4, 38 6, 40 22, 42 4, 44 5, 46 8, 48 56, 50 30, 52 48, 55 20, 56 4, 58 6, 60 20, 62 6, 64 4, 66 12, 68 42, 70 12, 72 6, 75 30
T1588: 2 24, 3 28, 5 18, 7 9, 9 6, 12 20, 14 6, 16 12, 17 30, 19 6, 22 9, 23 45, 25 6, 28 2, 29 12, 31 3, 34 36, 36 1, 38 7, 40 110, 42 9, 44 3, 46 5, 48 70, 50 15, 52 36, 55 12, 56 28, 58 3, 60 16, 62 5, 64 12, 66 12, 68 49, 70 20, 72 18, 75 21
T1589: 2 12, 3 4, 5 24, 7 21, 9 10, 11 45, 14 9, 15 12, 17 6, 19 3, 22 3, 23 10, 25 7, 28 10, 29 20, 31 3, 34 54, 36 9, 38 6, 40 110, 42 4, 44 5, 46 3, 48 14, 51 18, 52 60, 55 10, 56 12, 58 7, 60 28, 62 6, 64 36, 66 36, 68 56, 70 8, 72 60, 75 18
T1590: 2 27, 3 24, 5 12, 7 15, 9 6, 11 10, 14 10, 15 6, 18 4, 20 1, 22 7, 23 50, 25 4, 28 18, 29 4, 31 24, 34 18, 36 5, 38 4, 40 110, 42 3, 44 5, 46 5, 48 63, 50 10, 52 18, 55 20, 56 24, 58 1, 60 40, 62 7, 64 4, 66 20, 68 63, 70 2, 72 30, 75 3
T1591: 2 3, 3 24, 5 9, 7 15, 9 14, 11 5, 13 3, 15 30, 17 24, 19 30, 22 6, 23 20, 26 4, 27 6, 29 28, 31 18, 34 42, 36 1, 38 2, 40 11, 42 1, 44 1, 46 6, 48 49, 50 35, 52 42, 54 2, 56 32, 58 10, 60 24, 62 1, 64 36, 66 36, 68 14, 70 2, 72 18, 75 24
T1592: 2 18, 3 4, 5 15, 7 9, 9 14, 11 30, 13 4, 15 21, 17 9, 19 18, 22 9, 23 5, 26 9, 27 20, 29 32, 31 18, 34 12, 36 9, 38 2, 40 33, 42 8, 44 1, 46 6, 48 70, 50 35, 52 36, 54 3, 56 24, 58 5, 60 24, 62 7, 64 24, 66 36, 68 35, 71 32, 72 36, 75 30
T1593: 2 18, 3 36, 5 24, 7 27, 9 4, 11 10, 14 3, 15 18, 17 6, 19 27, 22 2, 23 20, 26 8, 27 6, 29 16, 31 24, 34 12, 36 2, 38 4, 40 33, 42 1, 44 1, 46 10, 48 42, 50 40, 52 12, 54 2, 56 24, 58 4, 60 4, 62 10, 64 12, 66 24, 68 63, 70 6, 72 6, 75 27
T1594: 2 27, 3 36, 5 12, 7 30, 9 18, 11 40, 13 2, 15 27, 17 3, 19 21, 22 8, 23 35, 26 2, 27 4, 29 32, 31 27, 34 48, 36 6, 38 4, 40 33, 42 4, 44 7, 46 4, 48 21, 50 10, 52 54, 55 6, 56 40, 58 5, 60 4, 62 9, 64 28, 66 36, 68 35, 70 10, 72 24, 75 27
T1595: 2 15, 3 32, 5 3, 7 24, 9 6, 11 40, 13 2, 15 12, 17 24, 19 3, 22 3, 23 10, 26 9, 27 4, 29 8, 31 12, 34 42, 36 10, 38 1, 40 99, 42 5, 44 4, 46 2, 48 7, 51 6, 52 30, 55 6, 56 24, 58 9, 60 20, 62 2, 64 20, 66 36, 68 14, 70 4, 72 12, 75 6
